iso3,crop_reduction_year_1,crop_reduction_year_2,crop_reduction_year_3,crop_reduction_year_4,crop_reduction_year_5,crop_reduction_year_6,crop_reduction_year_7,crop_reduction_year_8,crop_reduction_year_9,crop_reduction_year_10
NOR,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-98.55433410590396,-89.22428895694351,-61.57429346922217
OMN,557.833008698129,940.7444522742504,936.2755193758616,1229.2929145122466,1525.612264203803,1551.0967761092725,152.51740280534784,-19.43966845111142,39.775291987511565,-39.01203889690262
PAK,-71.96890066552002,-72.59590451377038,-72.54982090894929,-64.19033613058605,-60.6196674750382,-46.37445813651959,-28.044345013485227,-18.61554137733693,-13.25655381601018,-4.32996617197016
PAN,113.82610112361932,108.69379114092006,169.21011264727116,29.486053213775705,57.22305654195095,43.88052078275754,339.21094442004284,251.0139767918817,95.84818626142116,-32.16546386757247
PNG,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
PRY,8.13165855501571,-76.75873451216543,-87.50781053284199,-86.47855567125553,-84.63672414164171,-80.89657701554754,-65.11907006504157,-59.6075279939929,-47.159604645025816,-31.459063372507597
PER,-6.50024045457638,-75.3422397454318,-95.51050508019118,-96.51546879243888,-86.84798978037963,-85.1655387637243,-74.16461823533166,-60.33687657977194,-45.062853493945056,-33.1698337386803
PHL,-2.71302047389252,-53.200798805798186,-83.64682550224155,-85.00395324395983,-79.54555649835827,-70.33896819599146,-51.43407943315375,-32.67974793406131,-38.05618204437841,-4.261993585777049
QAT,506.4630655000001,-100.0,-100.0,193.707757570456,193.70775760000004,-99.99999999999989,-99.99999999999989,-99.99999999999989,-99.99999999999989,-99.99999999999989
RUS,-100.0,-100.0,-100.0,-99.90647920098924,-99.87167463031288,-97.47009418550216,-91.80211836158102,-78.41229741731227,-53.4094087264386,-43.928006857980165
RWA,-20.02497550985544,-73.8383716991777,-64.07188748983432,-76.68447581231521,-100.0,-58.72249418588554,-63.41490375620535,-83.11550559404115,-70.80867050971032,-58.97405504273674
SAU,-42.27878194764756,22.269726310508126,22.280695089354605,108.49081126072416,68.10339580735184,110.80749528025603,38.85227198346697,42.506250430447416,8.84045156883581,7.67095257720513
SEN,-4.244991450142689,-35.25806242880282,-46.74904882591613,-53.13611948402045,-47.96099225883463,-30.36635071370315,-12.877099957337933,-9.2738151111959,17.007848367883398,-0.30443817829248
SRB,-100.0,-100.0,-100.0,-99.9441173354262,-98.55337351766612,-78.57619213625532,-68.71975726194077,-76.9478354350185,-36.35350746460235,-74.61962504543338
SLE,-2.8646713133336794,-79.70532401044329,-92.4611325102623,-92.08697814062776,-86.55077467355756,-79.21465686985773,-59.39699241318847,-44.72819631561204,-37.85543981859961,-17.362451352780102
SGP,-19.58036486107596,-77.19649029190293,-80.38932042322823,-79.88612894827655,-69.03116784690963,-50.801051517663545,-40.97407433968641,-21.19645042368848,-1.6050025679031394,1.35815862053751
SOM,-10.2909191993724,36.49377353244997,21.13550360056172,-1.6511649320596598,15.776381637268011,1.01083072366134,35.82817116888556,67.2399021767254,52.86997508699397,155.95295553031738
ZAF,-4.46746952127609,-88.96513437655216,-92.615560491139,-91.76363730545788,-91.9364780795036,-88.09562388616803,-75.10711046949378,-57.78852966194524,-40.791627357970974,-21.11622368534891
SSD,-46.08994173736475,-93.02666802526238,-98.0324029143312,-95.49167271296608,-86.33399467742304,-88.01318526473268,-67.0403668128971,-45.93663443930292,-31.93702042312404,-10.71161639328187
LKA,11.833588408396032,-18.95758154722025,-67.78433933165853,-81.61280801111079,-46.17334493576714,-21.12727615258481,-14.17268272877154,-5.446101147923149,22.277916915924763,1.6788008685036
SDN,-26.92577988554624,-78.01696951452423,-82.52974799853374,-74.21563804796448,-63.39306502420463,-43.44843528307344,-5.09642857522424,26.89540601276063,61.06559113063469,54.958623332329935
SUR,34.65024966433325,47.32321530502247,-6.35471460276476,-55.883685497592936,-24.749772888143845,28.27924499934841,24.70234560362026,35.87227021504571,83.56262572061787,-33.76707464218598
CHE,-100.0,-100.0,-100.0,-99.99999999999996,-99.68240417483844,-94.83026773447644,-62.67733335889275,-41.63370709238199,-37.97769607953698,-17.55582735217005
SYR,-95.60944933940992,-89.69175062296247,-89.69175062296247,-43.78186219374896,-36.19409554219765,-40.16370884194109,-28.18145076693878,-30.268336378637866,-21.49171261626902,-14.764795395864953
TWN,-97.5076313598488,-99.71669716737848,-99.70414336333867,-98.9900071205584,-96.1537116961417,-93.1499845812767,-89.91230672714876,-82.59776603421918,-61.2520154943911,-33.96468446777395
TJK,-99.99403943297035,-100.0,-100.0,-100.0,-93.08960911638648,-58.64360912156887,-31.25569616628605,-15.009607668163518,-14.11767986016812,4.847436039109009
TZA,1.7180295955731095,-84.58434395262712,-93.52475065518712,-89.94336377749096,-85.55146387449624,-83.92060127670679,-80.17552061800387,-74.03651114439066,-55.07972466109716,-36.23326279455885
THA,6.06210713065628,-99.54693087954882,-99.73205199904385,-98.5927805351578,-97.2717101391425,-82.69626274491209,-65.89748702661741,-30.09161856811688,9.40471058027428,24.52630254769413
TGO,-20.97564019870034,-62.46284540877704,-64.66853588549459,-67.84799321410065,-65.81836578915394,-60.830960026595896,-40.25954096503368,-31.564657634630613,-25.27103656131534,-4.85061667752381
TTO,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
TUN,-64.80000000000001,16.6,16.6,32.29999999999999,62.169604562101256,58.37682170809539,2.385730611018409,-29.234331167848097,-36.97494986222079,-34.1008082689252
TUR,-99.117758542793,-96.1989219854866,-96.1989219854866,-83.1256207576903,-49.18830620993987,-29.957900287902035,-40.67050994968385,-42.77979391891495,-36.31100534917355,-29.670475660541964
TKM,-99.66437990482524,-100.0,-100.0,-94.65699828915476,-60.36310027600008,-35.90675828592753,-39.98822259502826,-34.907917566409594,-18.336723718533392,-5.131431753022589
UGA,-30.6110465430194,-92.46726853518032,-88.96876153121859,-82.52453272384545,-99.687882073457,-72.23041091476966,-66.08464685385692,-56.72407492590965,-35.05884470698094,7.493871620099581
UKR,-100.0,-100.0,-100.0,-99.97062607610675,-99.86678690806032,-82.98445976969042,-64.19655290871391,-67.14296807603762,-38.34398999796434,-45.57439584558042
ARE,873.972313236211,-88.84779808239922,-100.0,396.72648005360327,561.06724344479,-12.44166768228915,-64.01686786751185,-61.20868891236901,49.837345596362525,-62.0382356344757
USA,-99.5116431523868,-99.58379259570208,-99.58438527957608,-98.38874896324631,-96.86136172755852,-95.3044607557482,-89.1439677643859,-64.8361662188622,-44.6422024900005,-25.666690757208784
URY,-15.406083449337949,-67.68707006636816,-62.55769369664532,-66.59900404254206,-83.95573008337436,-78.4553764073759,-61.383940721911785,-63.868385679705824,-22.21497436899193,11.63611576248764
UZB,-99.78175216428556,-100.0,-100.0,-99.79168614560196,-71.28024101845843,-36.40449425035212,-29.22751424609921,-25.252232502065457,-15.62399592782808,-6.17925567836474
VEN,-26.506196889336152,-74.89464915895387,-77.25919236941964,-74.92633680263305,-73.82719058110115,-46.75999862241759,-29.715667379694985,-12.019137823677362,14.147971559429958,24.044473791430136
VNM,-43.49836805977152,-98.89060800029976,-94.61549764128094,-86.59025612862101,-84.82096836854438,-80.647293539076,-73.90232501185908,-54.15704895089279,-30.927809429497835,-21.99906180179447
YEM,-39.13097935934825,-65.04485978548018,-66.77319884248786,-52.127197170777706,-48.50069387045501,-39.85282181971964,-0.06866530550499,15.81574055118304,20.75799463163929,35.22564820090201
