Reporter Countries,Partner Countries,Element,Item,Unit,Y2021
Armenia,Russian Federation,Import Quantity,"Rice, paddy (rice milled equivalent)",tonnes,2161.0
Armenia,Russian Federation,Import Quantity,Wheat,tonnes,270337.39
Armenia,Russian Federation,Export Quantity,Wheat,tonnes,100.2
Armenia,South Africa,Import Quantity,Maize (corn),tonnes,0.29
Armenia,Spain,Import Quantity,Maize (corn),tonnes,0.02
Armenia,Spain,Import Quantity,"Rice, paddy (rice milled equivalent)",tonnes,3.0
Armenia,Thailand,Import Quantity,Maize (corn),tonnes,0.01
Armenia,Thailand,Import Quantity,"Rice, paddy (rice milled equivalent)",tonnes,4122.0
Armenia,Ukraine,Import Quantity,Maize (corn),tonnes,0.97
Armenia,United Arab Emirates,Import Quantity,Maize (corn),tonnes,0.04
Armenia,United Arab Emirates,Import Quantity,"Rice, paddy (rice milled equivalent)",tonnes,52.0
Armenia,United States of America,Import Quantity,"Rice, paddy (rice milled equivalent)",tonnes,59.0
Armenia,United States of America,Export Quantity,Wheat,tonnes,12.52
Armenia,Uruguay,Import Quantity,"Rice, paddy (rice milled equivalent)",tonnes,0.0
Armenia,Viet Nam,Import Quantity,"Rice, paddy (rice milled equivalent)",tonnes,3.0
Australia,Argentina,Import Quantity,Maize (corn),tonnes,337.5
